Órgão ofertante,Turma,Código,Disciplina,Docente,Horário,Sala/Lab
Eng. Eletrônica e Sistemas,ECBIO,EL390,CIRCUITOS ELETRICOS 1,Docente Externo,3T23 5T23,Anfiteatro do DES (4º andar do CTG)
Eng. Controle Automação,01A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,2M34,Sala 126 do DEE (galpão de Elétrica)
Eng. Controle Automação,02A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,2M56,Sala 126 do DEE (galpão de Elétrica)
Eng. Controle Automação,03A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,5M34,Sala 126 do DEE (galpão de Elétrica)
Eng. Controle Automação,04A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,5M56,Sala 126 do DEE (galpão de Elétrica)
Eng. Controle Automação,05A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,6T23,Sala 126 do DEE (galpão de Elétrica)
Eng. Controle Automação,06A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,6T45,Sala 126 do DEE (galpão de Elétrica)
EC,,IF690,HISTORIA E FUTURO DA COMPUTACAO,Germano Vasconcelos,3M56 3T1,E131
EC,,IF678,INFRA-ESTRUTURA DE COMUNICACAO,Renato Mariz,3M34 6M34 3M2,D004
EC,,IF686,PARADIGMAS LING.COMPUTACIONAIS,André Luís de Medeiros Santos,2M34 4M56 2M2,Grad03
EC,,ES413,SINAIS SISTEMAS PENG. COMPUTACAO,Aluízio Fausto Ribeiro Araújo,4M34 6M56 4M2,D002
EC,,ES203,ELETROMAGNETISMO 1,Odilon Maroja da Costa Pereira Filho,3T1 3T23,E131
EC,,IF682,ENGENHARIA SOFTWARE E SISTEMAS,Breno Miranda Paulo Borba,3T45 5T23 5T1,Grad03
EC,,IF689,INFORMATICA TEORICA,Ruy de Queiroz,2T23 4T23,D005
EC,,LE530,INGLES PARA COMPUTACAO,Docente Externo,2M34 2M56,D005
