Órgão ofertante,Turma,Código,Disciplina,Docente,Horário,Sala/Lab
CC,,CIN0139,INTEGRAÇÃO E EVOLUÇÃO DE SISTEMAS DE INFORMAÇÃO,Kiev Gama / Cristiano Coelho de Araújo,3M34 4M56 6M3456,D005 Grad05
CC,,CIN0140,ALGORITMOS,Gustavo Carvalho,3M56 5M34,E131
CC,,IF678,INFRA-ESTRUTURA DE COMUNICACAO,Kelvin Lopes Dias,3M34 5M56,E122
CC,,IF674,INFRA-ESTRUTURA DE HARDWARE,Adriano Augusto de Moraes Sarmento,3M56 5M34,D002
CC,,IF677,INFRA-ESTRUTURA DE SOFTWARE,Carlos Ferraz,4M56 6M34,E121
CC,,LE530,INGLES PARA COMPUTACAO,Docente Externo,2M3456,E132
CC,,CIN0137,BANCO DE DADOS,Valéria Cesário Times,2M56 4M34,D003
CC,,CIN0137,BANCO DE DADOS,Robson Fidalgo,2M56 4M34,D004
CC,,CIN0138,ÁLGEBRA VETORIAL E LINEAR PARA COMPUTACÃO,Paulo Salgado,2M34 5M56,D005
CC,,CIN0139,INTEGRAÇÃO E EVOLUÇÃO DE SISTEMAS DE INFORMAÇÃO,Kiev Gama / Cristiano Coelho de Araújo,3M34 4M56 6M3456,D005 Grad05
CC,,CIN0140,ALGORITMOS,Gustavo Carvalho,3M56 5M34,E131
CC,,IF678,INFRA-ESTRUTURA DE COMUNICACAO,Kelvin Lopes Dias,3M34 5M56,E122
CC,,IF674,INFRA-ESTRUTURA DE HARDWARE,Adriano Augusto de Moraes Sarmento,3M56 5M34,D002
CC,,IF677,INFRA-ESTRUTURA DE SOFTWARE,Carlos Ferraz,4M56 6M34,E121
CC,,LE530,INGLES PARA COMPUTACAO,Docente Externo,2M3456,E132
CC,,IF682,ENGENHARIA SOFTWARE E SISTEMAS,Breno Miranda,3T123 5T45,Grad04
CC,,IF685,GERENCIAMENTO DADOS E INFORMACAO,Valéria Cesário Times,2T45 4T123,D003
CC,,IF689,INFORMATICA TEORICA,Ruy de Queiroz,4T45 6T123,D005
CC,,IF681,INTERFACES USUARIO-MAQUINA,Alex Sandro Gomes / Filipe Calegário,2T123,E132
CC,,IF680,PROCESSAMENTO GRAFICO,Silvio Melo,6T456,D002
CC,,IF684,SISTEMAS INTELIGENTES,Ricardo Prudêncio / Cleber Zanchettin,3T45 5T123,Grad04
CC,,IF690,HISTORIA E FUTURO DA COMPUTACAO,Francisco de Assis Tenorio de Carvalho,6M34,E113
CC,,IF687,INTRODUÇÃO A MULTIMIDIA,Giordano Cabral,4M56,E233
CC,,IF676,METODOL EXPRESSAO TEC-CIENTIFICA,Patrícia Tedesco,4M34 6M56,E122
CC,,IF686,PARADIGMAS LING.COMPUTACIONAIS,Márcio Lopes Cornélio / Paulo Borba,3M34 5M56,Grad03
CC,,IF683,PROJETO DE DESENVOLVIMENTO,Geber Ramalho,2M3456,E233
CC,,IF688,TEO.IMPLEMEN.LING. COMPUTACIONAIS,Leopoldo Teixeira,3M56 5M34,Anfiteatro
CC,,IF691,TRABALHO DE GRADUAÇÃO (Horário: 23456M1/7M23456),Anjolina Grisi,,
EC,,CIN0001,INTRODUÇÃO À PROGRAMAÇÃO,Juliano Iyoda,2M56 5M34,Grad05
EC,,CIN0002,LABORATÓRIO DE PROGRAMAÇÃO 1,Juliano Iyoda,3M56,Grad05
EC,,CIN0003,INTRODUÇÃO À COMPUTAÇÃO,Adriano Lorena Inácio de Oliveira,4M56,E132
Área 2,E10,MA036,GEOMETRIA ANALÍTICA,Docente Externo,3M34,
Área 2,P5,MA026,CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo,4M34,
EC,,CIN0004,FUNDAMENTOS DE ÁLGEBRA LINEAR,Silvio Melo,3T23 6T23,E132
EC,,CIN0005,FUNDAMENTOS DE PROGRAMAÇÃO IMPERATIVA,Alexandre Cabral Mota,2T23 4T45,Grad05
EC,,CIN0006,LABORATÓRIO DE PROGRAMAÇÃO 2,Alexandre Cabral Mota,2T45,Grad05
EC,,CIN0007,SISTEMAS DIGITAIS,Abel Guilhermino da Silva Filho,3T45 5T23,D002
EC,,CIN0008,LABORATÓRIO DE SISTEMAS DIGITAIS,Abel Guilhermino da Silva Filho / Victor Wanderley Costa de Medeiros,5T45,Lab Hardw
Área 2,S4,MA027,CALCULO DIFERENCIAL E INTEGRAL 2,Docente Externo,4T23,
EC,,CIN0009,ALGORITMOS E ESTRUTURAS DE DADOS,Fernando Maciano de Paula Neto,3M34 5M56,D003
EC,,CIN0010,MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,Nivan Ferreira,3M56 5M34,D003
EC,,CIN0011,ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,Edna Barros,3T23 5T45,D005
EC,,CIN0012,LABORATÓRIO DE ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,Edna Barros / Victor Wanderley Costa de Medeiros,4T45,Lab Hardw
Área 2,P5,FI006,FISICA GERAL 1,Docente Externo,2M34,
Área 2,T1,MA128,CALCULO DIFERENCIAL E INTEGRAL 3,Docente Externo,2M34,
Área 2,T7,MA128,CALCULO DIFERENCIAL E INTEGRAL 3,Docente Externo,2M56,
Área 2,S3,FI007,FISICA GERAL 2,Docente Externo,2T23,
EC,,IF677,INFRA-ESTRUTURA DE SOFTWARE,Eduardo Tavares,3M34 5M56,E232
EC,,ET586,ESTATIST PROBABILIDADE COMPUTACAO,Jamilson Ramalho Dantas,3T45 5T123,D004
Área 2,Y6,FI021,FISICA EXPERIMENTAL 1,Docente Externo,6M34,
Área 2,Y7,FI021,FISICA EXPERIMENTAL 1,Docente Externo,6M34,
Área 2,Y8,FI021,FISICA EXPERIMENTAL 1,Docente Externo,6M34,
Área 2,Y9,FI021,FISICA EXPERIMENTAL 1,Docente Externo,6M34,
Área 2,T1/T3/T2/T4,FI108,FISICA GERAL 3,Docente Externo,2M56,
Área 2,T6/T7/T8,FI108,FISICA GERAL 3,Docente Externo,2M34,
EC,,IF685,GERENCIAMENTO DADOS E INFORMACAO,Robson Fidalgo,2T145 4T45,E112
EC,,IF816,MET. NUMERICOS COMPUTACIONAIS,Stefan Blawid,3T123 5T45,D004
EC,,IF817,INTERFACE HARDWARE-SOFTWARE,Andson Balieiro,2T23 4T23 6T1,E112
Eng. Eletrônica e Sistemas,ECBIO,EL390,CIRCUITOS ELETRICOS 1,Docente Externo,3T23 5T23,Anfiteatro do DES (4º andar do CTG
Eng. Controle Automação,01A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,2M34,
Eng. Controle Automação,02A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,2M56,
Eng. Controle Automação,03A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,5M34,
Eng. Controle Automação,04A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,5M56,
Eng. Controle Automação,05A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,6T23,
Eng. Controle Automação,06A,EL398,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo,6T45,
EC,,IF690,HISTORIA E FUTURO DA COMPUTACAO,Germano Vasconcelos,3M56 3T1,D005
EC,,IF678,INFRA-ESTRUTURA DE COMUNICACAO,Renato Mariz,3M34 6M34,D004
EC,,IF686,PARADIGMAS LING.COMPUTACIONAIS,André Luís de Medeiros Santos,2M34 4M56,Grad03
EC,,ES413,SINAIS SISTEMAS P/ENG. COMPUTACAO,Aluízio Fausto Ribeiro Araújo,4M34 6M56,D002
EC,,ES203,ELETROMAGNETISMO 1,Odilon Maroja da Costa Pereira Filho,3T123 5T45,E131
EC,,IF682,ENGENHARIA SOFTWARE E SISTEMAS,Breno Miranda / Paulo Borba,3T45 5T123,Grad03
EC,,IF689,INFORMATICA TEORICA,Ruy de Queiroz,2T23 4T23,D005
EC,,LE530,INGLES PARA COMPUTACAO,Docente Externo,2M3456,E132
EngEletronica,,ES232,INTRODUCAO DISPOS SEMICONDUTORES,Docente Externo,4M56,
EC,,ES238,ELETRONICA 1,Adrien,2M34 5M56,E131
EC,,ES344,PRINCIPIOS DE COMUNICACAO,Daniel Cunha,4M56 6M34,E131
EC,,ES414,SERVOMECANISMO P/ ENG. COMPUTACAO,Carlos Alexandre Barros de Mello,2M56 2T1 4M34,E131
EC,,IF684,SISTEMAS INTELIGENTES,Germano Vasconcelos / Filipe Calegário,3M34 6M56,E131
EC,,IF688,TEO.IMPLEMEN.LING. COMPUTACIONAIS,Leopoldo Teixeira,3M56 5M34,Anfiteatro
EC,,IF676,METODOL EXPRESSAO TEC-CIENTIFICA,George Darmiton,4M34 6M56,E233
EC,,IF822,PROJETO CO-DESENV. HARD-SOFTWARE,Cristiano Coelho de Araújo,2M3456,E233
EC,,IF813,TRABALHO DE GRADUACAO,Divanilson Rodrigo de Sousa Campelo,7M23456,
SI,,CIN0130,SISTEMAS DIGITAIS,Cristiano Coelho de Araújo / Victor Wanderley Costa de Medeiros,3N1234 5N1234,E132
SI,,CIN0131,CONCEPCAO DE ARTEFATOS DIGITAIS,Luiz Augusto Morais,2N12 2T6 4N1234,E131
SI,,CIN0132,MATEMÁTICA DISCRETA,Pedro Machado Manhães de Castro,3N12 3T6 5N12 5T6,E233
SI,,CIN0133,INTRODUÇÃO À PROGRAMAÇÃO,Sérgio Soares / Ricardo Massa Ferreira Lima / Fernanda Madeiral Delfim,2N1234 4N12 4T6 6N1234 6T6,Grad05 Grad01
SI,,AD431,ADMINISTRAÇÃO CONTEMPORÂNEA,Docente Externo,3N12 3T6 5N1234,E113
SI,,CIN0134,ARQUITETURA DE COMPUTADORES E SISTEMAS OPERACIONAIS,Sérgio Vanderlei Cavalcante,2N12 2T6 4N1234,E233
SI,,CIN0135,ESTRUTURAS DE DADOS ORIENTADAS A OBJETOS,Francisco Paulo Magalhães Simões,3N1234 6N12 6T6,Grad05
SI,,CIN0136,DESENVOLVIMENTO DE SOFTWARE ,Kiev Gama / David Junio Mota Cavalcanti,2N1234 3N12 3T6 5N1234 5T6,E233 Grad05
SI,20,MA026,CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo,4N12 4T6 6N1234,E131
SI,,AD291,ANÁLISE DAS ORGANIZACOES,Claudemir Inacio dos Santos,3N1234 5N12 5T6,E121
SI,,IF971,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Maíra Araújo de Santana,2N1234 4N12 4T6,E232
SI,,LE732,INGLÊS PARA COMPUTAÇÃO,Docente Externo,6N1234 6T6,E231
SI,,IF972,LÓGICA PARA COMPUTAÇÃO,Fred Freitas,2N12 2T6 4N1234,E132
SI,,CIN0139,INTEGRAÇÃO E EVOLUÇÃO DE SISTEMAS DE INFORMAÇÃO,Juscimara Gomes Avelino / David Junio Mota Cavalcanti,2N12 2T6 4N1234 6N1234 6T6,Grad05 Grad02
SI,,CIN0137,BANCO DE DADOS,Flávio Arthur Oliveira Santos,2N1234 4N12 4T6,E132
SI,,CIN0140,ALGORITMOS,Patrícia Tedesco,3N12 3T6 5N12 5T6,Grad03
SI,,CIN0138,ÁLGEBRA VETORIAL E LINEAR PARA COMPUTACÃO,Pedro Machado Manhães de Castro,3N1234 5N1234,E233
SI,,AD193,COMPORTAMENTO ORGANIZACIONAL,Claudemir Inacio dos Santos,3N12 3T6 5N1234,E122
SI,,CT503,CONTABILIDADE DE CUSTOS E GERENCIAL,Marcelo Jota Gomes,4N12 4T6 6N1234,E113
SI,,IF973,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,Hermano Perrelli de Moura,2N1234 6N12 6T6,E131
SI,,IF975,REDES DE COMPUTADORES,Paulo Freitas Araújo Filho,3N1234 5N12 5T6,E231
SI,,IF977,ENGENHARIA DE SOFTWARE,Vinicius Cardoso Garcia,2N12 2T6 4N1234,Grad02
SI,,IF978,GESTÃO DE PROCESSOS DE NEGÓCIO,Jéssyka Vilela,3N12 3T6 5N1234,E112
SI,,IF979,PLANEJAMENTO E GERENCIAMENTO DE PROJETOS,Alexandre Marcos Lins de Vasconcelos,6N1234 6T6,E122
SI,,IF980,SISTEMAS DE GESTÃO EMPRESARIAL,Alexandre Marcos Lins de Vasconcelos,3N1234 5N12 5T6,E232
SI,,IF982,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,Paulemir Gonçalves Campos,2N1234 5N12 5T6,E112
SI,,CO691,COMUNICAÇÃO TÉCNICA E CIENTÍFICA,Caio Bruno Bezerra de Souza,3N12 3T6 4N1234,E232
SI,,IF983,SISTEMAS DE APOIO À DECISÃO,Adiel Teixeira de Almeida Filho,2N12 2T6 5N1234,Grad01
SI,,IF985,PROJETO DE SISTEMA DE INFORMAÇÃO,Giordano Cabral,2N12 2T6 5N1234,Grad03
SI,,IF986,VIABILIDADE ECONÔMICO-FINANCEIRA DE PROJETOS DE SI,José Carlos Cavalcanti,4N1234 6N12 6T6,E112
SI,,IF987,AUDITORIA E SEGURANÇA DE SISTEMAS DE INFORMAÇÃO,Carla Silva Schuenemann,3N12 3T6 5N1234,Grad02
SI,,AD432,ESTRATÉGIA E PLANEJAMENTO,Docente Externo,3N1234 5N12 5T6,E113
SI,,IF988,EMPREENDIMENTOS EM INFORMÁTICA,Paulo Adeodato,2N1234 2T6,E113
SI,,IF989,TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO,Jéssyka Vilela,3N1234 5N12 5T6,E122
SI,,IF990,TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO,Filipe Calegário,7M23456,
Área 2,E9,MA026,CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo,4M34,
IA,,CIN0999,INTRODUÇÃO À INTELIGÊNCIA ARTIFICIAL,Tsang Ing Ren,2M56 5M34,E113
IA,,CIN0132,MATEMÁTICA DISCRETA,Adenilton José da Silva,3M56 6M34,E232
IA,,CIN0133,INTRODUÇÃO À PROGRAMAÇÃO,Fernanda Madeiral Delfim / Ricardo Massa Ferreira Lima / Sérgio Soares,2M34 3M34 4M56 5M56,Grad05
Área 2,F1,IF165,COMPUTAÇÃO ELETRÔNICA,Clarisse Lins de Lima,3T45,
Área 2,F2,IF165,COMPUTAÇÃO ELETRÔNICA,Ismael Cesar da Silva Araujo,3T45,
Área 2,F3,IF165,COMPUTAÇÃO ELETRÔNICA,Ismael Cesar da Silva Araujo,3T23,
Área 2,F4,IF165,COMPUTAÇÃO ELETRÔNICA,Juan Alberto Rojas Tueros,3T23,
Área 2,S1,IF165,COMPUTAÇÃO ELETRÔNICA,Juan Alberto Rojas Tueros,3T45,
Área 2,S2,IF165,COMPUTAÇÃO ELETRÔNICA,Caio Bruno Bezerra de Souza,3T45,
Área 2,S3,IF165,COMPUTAÇÃO ELETRÔNICA,Caio Bruno Bezerra de Souza,3T23,
Área 2,S5,IF165,COMPUTAÇÃO ELETRÔNICA,Clarisse Lins de Lima,3T23,
Área 2,E8,IF165,COMPUTAÇÃO ELETRÔNICA,Juscimara Gomes Avelino,3M56,
Área 2,T1,IF215,CÁLCULO NUMÉRICO,Juan Alberto Rojas Tueros,3M34,
Área 2,T3,IF215,CÁLCULO NUMÉRICO,Clarisse Lins de Lima,3M34,
Área 2,T4,IF215,CÁLCULO NUMÉRICO,Davi Hirafuji Neiva,3M34,
Área 2,T5,IF215,CÁLCULO NUMÉRICO,Davi Hirafuji Neiva,3M56,
Área 2,T6,IF215,CÁLCULO NUMÉRICO,Clarisse Lins de Lima,3M56,
Área 2,T7,IF215,CÁLCULO NUMÉRICO,Juan Alberto Rojas Tueros,3M56,
Ciências Atuariais,,IF963,PROGRAMAÇÃO 1A,Ismael Cesar da Silva Araujo,4T34,
Ciências Atuariais,,IF685,GERENCIAMENTO DE DADOS E INFORMAÇÕES,Paulemir Gonçalves Campos,4T34,
Lic. Matemática,2Z,IF663,COMPUTAÇÃO L,Paulemir Gonçalves Campos,5N1234,
Estatística,,IF757,ESTRUTURAS  E ALGORITMOS ,Ismael Cesar da Silva Araujo,3M56,
Lic Expressão Gráfica,,IF965,INTRODUÇÃO A PROGRAMAÇÃO,Paulemir Gonçalves Campos,6M34,
